SNR (dB), BER without PA, BER with PA
10, 0.0073537476453, 0.0018071717060
11, 0.0056805050856, 0.0012648614179
12, 0.0044012973525, 0.0008946959226
13, 0.0034186815993, 0.0006379820112
14, 0.0026610421711, 0.0004578588172
15, 0.0020750674401, 0.0003303449878
16, 0.0016206916898, 0.0002394278083
17, 0.0012675835502, 0.0001742305147
18, 0.0009926486279, 0.0001272347866
19, 0.0007782209054, 0.0000932125592
20, 0.0006107347516, 0.0000684867497
