%% infant girl 10 weeks old
% Measurement on the big toe
% Measuring time 3 minutes
%high pulse frequencies and strong circulation regulation
% t   L1     L2    L3     L4    L5
928.68;-3532;-4425;4216;-9802;-12340;;
937.20;-3615;-4486;4197;-9722;-12279;;
945.72;-3533;-4331;4286;-9706;-12332;;
954.24;-3542;-4337;4221;-9652;-12322;;
962.76;-3436;-4176;4408;-9456;-12310;;
971.28;-3357;-4099;4449;-9461;-12364;;
979.80;-3329;-4011;4556;-9314;-12258;;
988.32;-3275;-3922;4629;-9349;-12366;;
996.84;-3302;-3916;4621;-9283;-12245;;
1005.36;-3219;-3830;4706;-9256;-12312;;
1013.88;-3281;-3852;4613;-9287;-12299;;
1022.40;-3219;-3798;4700;-9155;-12235;;
1030.92;-3226;-3823;4672;-9245;-12366;;
1039.44;-3244;-3834;4706;-9185;-12230;;
1047.96;-3173;-3811;4751;-9240;-12363;;
1056.48;-3251;-3845;4700;-9248;-12255;;
1065.00;-3174;-3803;4728;-9223;-12257;;
1073.52;-3272;-3867;4689;-9268;-12257;;
1082.04;-3237;-3803;4722;-9198;-12198;;
1090.56;-3236;-3870;4668;-9269;-12363;;
1099.08;-3283;-3869;4688;-9232;-12234;;
1107.60;-3165;-3848;4682;-9301;-12334;;
1116.12;-3303;-3976;4638;-9321;-12273;;
1124.64;-3231;-3899;4677;-9333;-12229;;
1133.16;-3316;-4018;4586;-9378;-12268;;
1141.68;-3333;-3942;4635;-9359;-12231;;
1150.20;-3317;-3995;4558;-9428;-12331;;
1158.72;-3370;-4034;4566;-9381;-12245;;
1167.24;-3283;-4004;4555;-9475;-12317;;
1175.76;-3362;-4167;4493;-9472;-12255;;
1184.28;-3334;-4068;4583;-9480;-12251;;
1192.80;-3380;-4162;4475;-9563;-12274;;
1201.32;-3420;-4105;4505;-9497;-12251;;
1209.84;-3400;-4106;4447;-9596;-12288;;
1218.36;-3432;-4155;4420;-9524;-12229;;
1226.88;-3394;-4144;4443;-9581;-12335;;
1235.40;-3453;-4249;4367;-9596;-12245;;
1243.92;-3424;-4190;4476;-9574;-12249;;
1252.44;-3477;-4261;4376;-9715;-12314;;
1260.96;-3470;-4230;4386;-9616;-12184;;
1269.48;-3477;-4244;4362;-9715;-12320;;
1278.00;-3522;-4274;4295;-9652;-12213;;
1286.52;-3485;-4279;4331;-9665;-12314;;
1295.04;-3554;-4334;4260;-9709;-12293;;
1303.56;-3482;-4312;4316;-9688;-12283;;
1312.08;-3546;-4388;4265;-9811;-12332;;
1320.60;-3535;-4345;4270;-9743;-12171;;
1329.12;-3527;-4388;4250;-9821;-12327;;
1337.64;-3644;-4410;4181;-9781;-12240;;
1346.16;-3549;-4390;4217;-9783;-12320;;
1354.68;-3653;-4468;4156;-9826;-12338;;
1363.20;-3559;-4428;4172;-9826;-12305;;
1371.72;-3591;-4524;4118;-9898;-12327;;
1380.24;-3620;-4513;4156;-9861;-12230;;
1388.76;-3568;-4526;4095;-9936;-12326;;
1397.28;-3717;-4608;4077;-9903;-12260;;
1405.80;-3630;-4496;4090;-9931;-12321;;
1414.32;-3696;-4625;3985;-9955;-12361;;
1422.84;-3654;-4577;4066;-9939;-12325;;
1431.36;-3651;-4671;3979;-10028;-12357;;
1439.88;-3692;-4683;4025;-9969;-12298;;
1448.40;-3661;-4692;4013;-10057;-12351;;
1456.92;-3731;-4734;3974;-10015;-12274;;
1465.44;-3687;-4633;4051;-10016;-12371;;
1473.96;-3702;-4666;3939;-10002;-12335;;
1482.48;-3622;-4548;4106;-9822;-12309;;
1491.00;-3544;-4464;4160;-9812;-12395;;
1499.52;-3498;-4343;4288;-9631;-12295;;
1508.04;-3418;-4217;4405;-9628;-12404;;
1516.56;-3435;-4187;4403;-9562;-12261;;
1525.08;-3336;-4087;4494;-9527;-12298;;
1533.60;-3398;-4095;4426;-9545;-12300;;
1542.12;-3336;-4023;4514;-9395;-12224;;
1550.64;-3338;-4052;4500;-9478;-12421;;
1559.16;-3357;-4040;4516;-9411;-12230;;
1567.68;-3266;-4003;4574;-9453;-12337;;
1576.20;-3352;-4045;4532;-9458;-12223;;
1584.72;-3267;-3986;4564;-9424;-12253;;
1593.24;-3363;-4055;4523;-9464;-12264;;
1601.76;-3325;-3978;4577;-9400;-12181;;
1610.28;-3322;-4025;4518;-9453;-12349;;
1618.80;-3376;-4028;4543;-9422;-12213;;
1627.32;-3244;-4011;4555;-9474;-12315;;
1635.84;-3365;-4133;4498;-9501;-12247;;
1644.36;-3315;-4059;4551;-9505;-12194;;
1652.88;-3382;-4153;4472;-9545;-12244;;
1661.40;-3404;-4086;4523;-9519;-12207;;
1669.92;-3392;-4136;4417;-9594;-12279;;
1678.44;-3444;-4170;4428;-9548;-12208;;
1686.96;-3355;-4142;4434;-9612;-12310;;
1695.48;-3445;-4296;4363;-9618;-12233;;
1704.00;-3411;-4198;4466;-9628;-12230;;
1712.52;-3467;-4284;4348;-9717;-12250;;
1721.04;-3480;-4243;4393;-9652;-12210;;
1729.56;-3490;-4246;4321;-9744;-12290;;
1738.08;-3508;-4293;4299;-9676;-12184;;
1746.60;-3466;-4277;4329;-9727;-12275;;
1755.12;-3529;-4366;4236;-9746;-12229;;
1763.64;-3477;-4327;4345;-9713;-12255;;
1772.16;-3547;-4391;4237;-9858;-12301;;
1780.68;-3550;-4362;4277;-9757;-12154;;
1789.20;-3536;-4377;4234;-9855;-12280;;
1797.72;-3606;-4400;4185;-9797;-12184;;
1806.24;-3542;-4417;4219;-9807;-12301;;
1814.76;-3634;-4458;4159;-9849;-12270;;
1823.28;-3546;-4417;4201;-9827;-12247;;
1831.80;-3608;-4514;4144;-9927;-12338;;
1840.32;-3602;-4475;4154;-9874;-12154;;
1848.84;-3585;-4495;4116;-9934;-12303;;
1857.36;-3713;-4538;4090;-9905;-12207;;
1865.88;-3610;-4485;4105;-9911;-12288;;
1874.40;-3698;-4592;4047;-9942;-12318;;
1882.92;-3623;-4540;4085;-9950;-12265;;
1891.44;-3646;-4636;4017;-10009;-12334;;
1899.96;-3667;-4614;4064;-9975;-12234;;
1908.48;-3627;-4639;4012;-10044;-12305;;
1917.00;-3756;-4697;3990;-10016;-12266;;
1925.52;-3672;-4590;4014;-10042;-12320;;
1934.04;-3743;-4721;3902;-10069;-12334;;
1942.56;-3698;-4681;3983;-10041;-12299;;
1951.08;-3696;-4749;3898;-10128;-12341;;
1959.60;-3722;-4790;3944;-10069;-12290;;
1968.12;-3706;-4780;3938;-10165;-12356;;
1976.64;-3761;-4835;3905;-10115;-12263;;
1985.16;-3714;-4709;3975;-10114;-12362;;
1993.68;-3745;-4755;3894;-10102;-12333;;
2002.20;-3649;-4623;4056;-9910;-12326;;
2010.72;-3582;-4543;4091;-9898;-12426;;
2019.24;-3538;-4423;4233;-9724;-12281;;
2027.76;-3447;-4300;4346;-9721;-12384;;
2036.28;-3470;-4248;4342;-9654;-12249;;
2044.80;-3374;-4174;4433;-9593;-12285;;
