SNR (dB), BER without PA, BER with PA
10, 0.0307491665911, 0.0078113430247
11, 0.0267302153392, 0.0060473943092
12, 0.0232858592875, 0.0047024422588
13, 0.0203224726665, 0.0036697716116
14, 0.0177645852573, 0.0028724753055
15, 0.0155505766216, 0.0022541432573
16, 0.0136296167922, 0.0017728223120
17, 0.0119594237963, 0.0013969689419
18, 0.0105045791327, 0.0011026561030
19, 0.0092352371168, 0.0008717478634
20, 0.0081261197270, 0.0006900837756
